X,Y,Z,LOO_max,LOO_Y,LOO_S1,LOO_S3
4744.51767347422,1604.68690855032,-3040.62989647513,0.000260419890817123,0,9.59735549505459e-10,0.000260419890817123
4847.01407630395,1392.43010337754,-3038.60776843993,6.52733345185681e-05,0,9.80677434904234e-08,6.52733345185681e-05
4847.0211586595,1392.38999838692,-3024.06756481639,7.41253959502528e-05,4.3600142832371e-06,7.8385136061549e-08,7.41253959502528e-05
4953.89364889931,1200,-3022.07723828276,0.000105367204718631,8.54312328935271e-09,5.91294509219257e-08,0.000105367204718631
4953.90861127159,1200,-3036.84413537109,0.000127035403376511,0,6.37835437246666e-10,0.000127035403376511
4197.13939357048,2345.46509462353,-3029.2667202261,0.000383024925660064,2.51820590606219e-08,6.89094646201323e-09,0.000383024925660064
4197.15274403108,2345.45443596242,-3041.72803951132,0.000392558259063568,0,2.62710301679218e-09,0.000392558259063568
4394.96597538454,2228.4326852577,-3036.57573040027,0.000739286833208174,0,1.38761966789219e-11,0.000739286833208174
4394.96713044492,2228.43303055173,-3023.89711726055,0.000684067931388637,2.18196862036843e-10,7.05768687212451e-11,0.000684067931388637
4005.01086510059,2234.64583024406,-3007.24068357678,0.000330095109151723,5.08391564151872e-06,2.40548235244972e-07,0.000330095109151723
3800,2354.21707855421,-3014.71246389534,0.000854385654906958,6.72488091450387e-06,1.92004302909864e-05,0.000854385654906958
3999.4029624538,2467.44093671643,-3024.15698428959,0.000216807930494816,6.00618395481274e-06,3.58589497932045e-07,0.000216807930494816
3800,2585.05543523191,-3031.87522145776,0.000998700308117315,1.27848265558347e-06,5.62416968554119e-06,0.000998700308117315
4189.48250064095,2577.6463611663,-3034.03010153205,0.000154348259209371,1.32320209571402e-08,6.76937787824574e-09,0.000154348259209371
4189.50058629051,2577.63199362693,-3046.40095275863,0.000144183927624531,0,1.66185021534233e-09,0.000144183927624531
3988.74117766611,2698.74355307388,-3053.55623531585,0.000123741320776063,0,8.92054375758538e-08,0.000123741320776063
3988.71563726709,2698.75956273817,-3041.27572521101,6.80909437748761e-05,1.57188404789832e-06,6.76333027627325e-08,6.80909437748761e-05
3800,2815.96648572009,-3058.53815745783,0.00184489074106142,0,1.64865643004262e-07,0.00184489074106142
3800,2815.91985537507,-3046.73255788812,0.00166046641618468,1.37049371604195e-06,1.68902485410763e-07,0.00166046641618468
3948.10559955788,1367.93572383528,-2966.50382360792,0.000101693150145048,7.06006816772221e-06,0.000101693150145048,9.27816824790832e-05
3800,1430.83282185817,-2970.7620296533,0.000673664843195088,4.33389581197588e-05,3.42430465098089e-05,0.000673664843195088
3800,1200,-2969.79890384531,0.000538391436911738,1.36205294185272e-06,5.28736266813539e-07,0.000538391436911738
4030.72969665166,1200,-2963.49468205886,0.0001080450943111,4.95501054740803e-08,2.17648662650792e-06,0.0001080450943111
3966.50533364407,1546.82738076586,-2980.4594927389,0.000133875066846575,8.28529437018922e-06,2.16507179410095e-05,0.000133875066846575
3800,1661.67601948825,-2985.59668179747,0.000749710094502615,2.36023073360099e-05,0.000109770835025104,0.000749710094502615
4150.04261606224,1410.35063995599,-2974.91778887443,0.000247093114687502,1.95417674172871e-08,2.3640473635827e-08,0.000247093114687502
4261.51308006656,1200,-2973.56570538833,9.72373654682633e-06,8.15834657607039e-09,7.99169047401271e-09,9.72373654682633e-06
3991.47237368744,1770.51949969223,-2993.97284025076,0.00016410838507569,6.14383946832117e-06,2.44142676943034e-06,0.00016410838507569
3800,1892.52557291291,-2999.39134903765,0.000880572581423675,1.53300223579759e-06,4.27396361911697e-05,0.000880572581423675
3800,2123.36271446562,-2999.41157156393,0.000757555972633142,1.84048051585793e-05,4.90044489994405e-05,0.000757555972633142
4005.07074335745,2007.92192596501,-2993.67885543178,0.000161658489843899,5.45521190656589e-06,1.67768214821581e-06,0.000161658489843899
4402.37030906322,1380.65903542188,-2986.37942825589,4.54940384211927e-05,1.12891049921798e-10,1.11044282020911e-07,4.54940384211927e-05
4492.31906490452,1200,-2985.55430920237,7.46259475987324e-05,2.29844217035459e-06,3.63167684895507e-07,7.46259475987324e-05
4616.95276856958,1390.21699867643,-2998.69239027532,0.000130689763916251,2.1002557539033e-06,1.81423955103063e-06,0.000130689763916251
4723.11073189418,1200,-2997.08642522182,0.00022922234725441,2.34197105011588e-06,5.32703218104994e-06,0.00022922234725441
4847.02824101505,1392.3498933963,-3009.52736119284,9.00399629306788e-05,4.80274587057714e-06,7.82887134664165e-08,9.00399629306788e-05
4953.87873861786,1200,-3007.31034119444,9.31704199091804e-05,1.21594778834808e-10,7.3955281169062e-08,9.31704199091804e-05
4583.48525855306,2125.37686942702,-3021.57672110902,0.000661213405622671,6.90756234270338e-10,2.76448234937382e-09,0.000661213405622671
4583.47701222368,2125.40234346126,-3034.54345006645,0.000707198608840802,0,1.21293846781476e-10,0.000707198608840802
4785.42572574104,2058.0334133023,-3034.23775697765,0.000112508913324974,0,2.49771224275674e-09,0.000112508913324974
4785.43466348931,2057.99540265836,-3020.89085888445,0.000132534065868978,6.52133894713792e-09,4.08359095626229e-09,0.000132534065868978
4855.2272439989,1826.55774716201,-3036.11839122166,9.87254799935486e-05,0,3.06176619501487e-07,9.87254799935486e-05
4855.22731239851,1826.5103364917,-3022.08518176889,0.000116613229477789,2.02400226429798e-06,4.17789588737545e-07,0.000116613229477789
5069.08910862082,1403.90765647991,-3020.38048428864,0.000253806377012196,4.51040905363531e-09,1.20386848575058e-09,0.000253806377012196
